user_name,user_issue_title_tfidf
Gongchen,[]
Grooooot,"[[('bad', 0.4023167895816005), ('build', 0.028736913541542893), ('rpm', 0.01508687960931002), ('sourc', 0.0029153390549391343)]]"
HuaxinLuGitee,"[[('2003ltssp1updatearmx86dovecot', 4.827801474979206)], [('2003pxe', 2.413900737489603), ('libtinfoso6', 2.413900737489603)], [('2003sp1armx86lt', 0.6896859249970294), ('sp1', 0.026238051494452207)], [('2003，，', 4.827801474979206)], [('2103armx86', 0.43889104317992783), ('selinux', 0.14629701439330928)], [('2103freeradiu', 1.0728447722176013), ('sqlite', 0.5364223861088007), ('systemctl', 0.22989530833234312)], [('9c84d68', 1.2069503687448015), ('selinuxpolici', 0.24139007374896032), ('onlt', 0.12069503687448016), ('updat', 0.005376170907549227)], [('avc', 0.5364223861088007), ('avcdeniedgetattr', 0.5364223861088007), ('pid15247', 0.5364223861088007), ('comm', 0.5364223861088007), ('sp2armx86', 0.26821119305440033), ('login', 0.11920497469084458), ('""', 0.07152298481450675), ('selinux', 0.032510447642957616)], [('dbrootcannot', 1.609267158326402), ('openetctarget', 1.609267158326402), ('2003sp1', 0.09195812333293725)], [('disabl', 0.26821119305440033), ('selinux', 0.1950626858577457)], [('ltssp1lt', 1.2069503687448015), ('update20210407', 1.2069503687448015), ('ssh', 0.09655602949958413), ('sp1', 0.013119025747226103)], [('nfssmb', 1.2069503687448015), ('systemdresolvedservic', 0.804633579163201), ('2103armx86', 0.21944552158996392), ('selinux', 0.07314850719665464)], [('pam', 0.24139007374896032), ('140', 0.1609267158326402), ('onlt', 0.09655602949958414), ('version', 0.007178886951641943), ('updat', 0.004300936726039382)], [('prevent', 1.2069503687448015), ('selinux', 0.14629701439330928), ('sp2', 0.017749270128600024)], [('reboot', 0.48278014749792064), ('2003sp1', 0.13793718499940588)], [('rpmmacro', 2.413900737489603), ('memcach', 0.6896859249970294)], [('sp1', 0.013119025747226103), ('2003lt', 0.008210546726155113), ('updat', 0.005376170907549227), ('openeul', 0.0027971039831860985)], [('tangdsocket', 2.413900737489603), ('2009betaarmx86', 0.804633579163201)], [('touchautorelabel', 1.609267158326402), ('2003sp1x86', 0.45979061666468624), ('standard', 0.4023167895816005)], [('update1102', 1.609267158326402), ('armx86', 0.4023167895816005), ('lt', 0.014178565271598257)]]"
HukunaMatata,[]
Jacean,"[[('404', 0.37136934422916973), ('2009', 0.03498406865926961)], [('arm64', 0.3017375921862004), ('rpm', 0.03017375921862004)], [('caliconod', 2.413900737489603), ('k8', 0.5364223861088007)], [('stratovirt', 0.26821119305440033), ('isula', 0.08323795646515873)]]"
Kenneth-Lee-2012,"[[('macbook', 0.6896859249970294), ('air', 0.6896859249970294), ('m1', 0.6896859249970294), ('desktop', 0.22989530833234312), ('parallel', 0.15326353888822875), ('arm', 0.01839162466658745), ('openeul', 0.0015983451332491991)], [('qemusystem', 1.2069503687448015), ('mip', 1.2069503687448015), ('ppc', 1.2069503687448015), ('riscv', 0.05247610298890441)], [('virtinstal', 3.218534316652804)]]"
KeyboardXia,"[[('fuzzsyzkaller2003lt', 0.6437068633305608), ('useafterfre', 0.1485477376916679), ('fuzz', 0.07152298481450677), ('bug', 0.055174873999762356), ('kernel', 0.03786510960768005)]]"
LemmyHuang,"[[('          ', 0.31147106290188425)], [('2003lt', 0.016421093452310225), ('openeul', 0.005594207966372197)], [('cve202010722', 4.827801474979206)], [('cve202010723', 4.827801474979206)], [('cve202010724', 4.827801474979206)], [('cve202010725', 4.827801474979206)], [('cve202010726', 4.827801474979206)], [('cve202014374', 4.827801474979206)], [('cve202014375', 4.827801474979206)], [('cve202014376', 4.827801474979206)], [('cve202014377', 4.827801474979206)], [('cve202014378', 4.827801474979206)], [('gigabit', 1.2069503687448015), ('ethernet', 1.2069503687448015), ('pmd', 1.2069503687448015), ('10', 0.20115839479080025)], [('igbuioko', 1.2069503687448015), ('rtekniko', 1.2069503687448015), ('dpdk', 0.20115839479080025), ('2003ltssp1', 0.031761851809073725)], [('lwip', 0.48278014749792064), ('i40', 0.21456895444352028), ('iavf', 0.21456895444352028), ('2003ltssp1', 0.02540948144725898), ('openeul', 0.002237683186548879)]]"
MrRlu,"[[('bashreadlin', 0.9655602949958413), ('bcc', 0.17555641727197113), ('command', 0.07427386884583395), ('bug', 0.055174873999762356), ('sp1', 0.010495220597780883)], [('no55', 4.827801474979206)], [('pl', 0.804633579163201), ('gazellecni', 0.804633579163201), ('roadmap', 0.4023167895816005), ('architectur', 0.4023167895816005), ('design', 0.4023167895816005), ('provid', 0.02980124367271115)], [('spdk', 0.9655602949958413), ('dpdk', 0.4023167895816005)], [('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867), ('spec', 0.001800075121170472)], [('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867), ('spec', 0.001800075121170472)], [('subscrib', 0.6437068633305608), ('tc', 0.19311205899916828), ('mail', 0.1485477376916679), ('list', 0.06229421258037685), ('fail', 0.015573553145094213)], [('yaml', 0.0026381428825022987), ('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867)], [('yaml', 0.0026381428825022987), ('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867)], [('yaml', 0.0026381428825022987), ('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867)], [('yaml', 0.0026381428825022987), ('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867)], [('yaml', 0.0026381428825022987), ('submit', 0.002123043744493934), ('file', 0.002025084511316781), ('repositori', 0.0019883861099584867)]]"
RickyZ5351,"[[('100', 0.21944552158996392), ('nginx', 0.1508687960931002), ('2003sp1', 0.06896859249970294), ('cpu', 0.05364223861088007)]]"
Ronnie_Jiang,"[[('                ', 0.7427386884583395)], [('20200829', 0.9655602949958413), ('releas', 0.01496992705419909), ('2003lt', 0.006568437380924091), ('updat', 0.004300936726039382), ('openeul', 0.002237683186548879)], [('20200930', 0.9655602949958413), ('releas', 0.01496992705419909), ('2003lt', 0.006568437380924091), ('updat', 0.004300936726039382), ('openeul', 0.002237683186548879)], [('20201030', 0.9655602949958413), ('releas', 0.01496992705419909), ('2003lt', 0.006568437380924091), ('updat', 0.004300936726039382), ('openeul', 0.002237683186548879)], [('20201130', 0.9655602949958413), ('releas', 0.01496992705419909), ('2003lt', 0.006568437380924091), ('updat', 0.004300936726039382), ('openeul', 0.002237683186548879)], [('20210210', 0.9655602949958413), ('releas', 0.01496992705419909), ('2003lt', 0.006568437380924091), ('updat', 0.004300936726039382), ('openeul', 0.002237683186548879)], [('criu', 0.45979061666468624), ('2003lt', 0.010947395634873482), ('openeul', 0.0037294719775814644)], [('kmod', 0.6896859249970294), ('openeuler2003lt', 0.04827801474979206)], [('ｖｍ', 4.827801474979206)]]"
RootWB,[]
Rudy_Tan,[]
Shaojie-Zhang,[]
Shinwell_Hu,[]
SupMario,[]
